i,j,freq
0,0,0.74
0,1,0.82
0,2,0.7
0,3,0.84
0,4,0.86
0,5,0.8
0,6,0.82
0,7,0.72
0,8,0.74
0,9,0.64
0,10,0.8
0,11,0.82
0,12,0.88
0,13,0.8
0,14,0.76
0,15,0.56
0,16,0.78
0,17,0.78
0,18,0.86
0,19,0.92
1,1,0.0
1,2,0.74
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.72
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.72
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.66
2,2,0.86
2,3,0.84
2,4,0.8
2,5,0.68
2,6,0.88
2,7,0.76
2,8,0.66
2,9,0.68
2,10,0.72
2,11,0.74
2,12,0.7
2,13,0.78
2,14,0.82
2,15,0.66
2,16,0.86
2,17,0.78
2,18,1.0
2,19,1.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.76
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.7
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.94
4,4,0.0
4,5,0.0
4,6,0.98
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.78
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.8
5,5,0.0
5,6,0.74
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.68
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.68
6,6,0.68
6,7,0.84
6,8,0.84
6,9,0.74
6,10,0.64
6,11,0.74
6,12,0.8
6,13,0.8
6,14,0.8
6,15,0.56
6,16,0.74
6,17,0.78
6,18,0.88
6,19,0.84
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.68
7,12,0.0
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.0
7,18,0.0
7,19,0.76
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.94
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.8
9,9,0.0
9,10,0.0
9,11,0.68
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.66
10,10,0.0
10,11,0.82
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.76
11,11,0.84
11,12,0.84
11,13,0.68
11,14,0.82
11,15,0.7
11,16,0.88
11,17,0.88
11,18,1.0
11,19,0.94
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.72
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.76
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.0
14,18,0.0
14,19,0.88
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.62
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.9
17,17,0.0
17,18,0.0
17,19,0.8
18,18,0.0
18,19,0.82
19,19,0.88
