i,j,freq
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.12
0,6,0.0
0,7,0.04
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.14
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.04
0,19,0.08
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.12
1,6,0.0
1,7,0.04
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.04
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.04
1,19,0.06
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.08
2,6,0.0
2,7,0.06
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.0
2,14,0.02
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.84
3,6,0.0
3,7,0.84
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.4
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.28
3,19,0.4
4,4,0.0
4,5,0.96
4,6,0.0
4,7,0.96
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.44
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.14
4,19,0.54
5,5,0.4
5,6,0.22
5,7,0.7
5,8,0.26
5,9,0.84
5,10,0.46
5,11,0.52
5,12,0.74
5,13,0.5
5,14,0.2
5,15,0.26
5,16,0.42
5,17,0.12
5,18,0.7
5,19,0.22
6,6,0.0
6,7,0.16
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.26
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.12
6,19,0.04
7,7,0.4
7,8,1.0
7,9,1.0
7,10,1.0
7,11,0.96
7,12,1.0
7,13,1.0
7,14,1.0
7,15,0.96
7,16,0.86
7,17,0.46
7,18,0.86
7,19,0.16
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.0
8,14,1.0
8,15,0.0
8,16,0.0
8,17,0.0
8,18,1.0
8,19,0.92
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.0
9,14,1.0
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.78
9,19,0.2
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.0
10,14,0.98
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.2
10,19,0.24
11,11,0.0
11,12,0.0
11,13,0.0
11,14,0.92
11,15,0.0
11,16,0.0
11,17,0.0
11,18,0.48
11,19,0.78
12,12,0.0
12,13,0.0
12,14,1.0
12,15,0.0
12,16,0.0
12,17,0.0
12,18,0.98
12,19,1.0
13,13,0.0
13,14,0.96
13,15,0.0
13,16,0.0
13,17,0.0
13,18,1.0
13,19,1.0
14,14,1.0
14,15,0.64
14,16,0.2
14,17,0.7
14,18,1.0
14,19,1.0
15,15,0.0
15,16,0.0
15,17,0.0
15,18,1.0
15,19,1.0
16,16,0.0
16,17,0.0
16,18,0.86
16,19,0.88
17,17,0.0
17,18,0.68
17,19,0.72
18,18,0.88
18,19,0.96
19,19,0.98
