i,j,freq
0,0,0.0
0,1,0.88
0,2,0.84
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.58
0,13,0.86
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.38
0,18,0.0
0,19,0.0
1,1,1.0
1,2,1.0
1,3,0.44
1,4,0.1
1,5,0.42
1,6,0.6
1,7,0.58
1,8,0.16
1,9,0.08
1,10,0.14
1,11,0.18
1,12,0.92
1,13,1.0
1,14,0.36
1,15,0.46
1,16,0.46
1,17,1.0
1,18,0.38
1,19,0.18
2,2,1.0
2,3,0.6
2,4,0.22
2,5,0.68
2,6,0.3
2,7,0.34
2,8,0.44
2,9,0.2
2,10,0.4
2,11,0.22
2,12,1.0
2,13,1.0
2,14,0.3
2,15,0.7
2,16,0.4
2,17,0.28
2,18,0.12
2,19,0.28
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.34
3,13,0.3
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.26
3,18,0.0
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.18
4,13,0.24
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.32
4,18,0.0
4,19,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.46
5,13,0.42
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.28
5,18,0.0
5,19,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.84
6,13,0.84
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.32
6,18,0.0
6,19,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.78
7,13,0.86
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.6
7,18,0.0
7,19,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.48
8,13,0.8
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.56
8,18,0.0
8,19,0.0
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.18
9,13,0.14
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.06
9,18,0.0
9,19,0.0
10,10,0.0
10,11,0.0
10,12,0.52
10,13,0.18
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.18
10,18,0.0
10,19,0.0
11,11,0.0
11,12,0.5
11,13,0.36
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.16
11,18,0.0
11,19,0.0
12,12,1.0
12,13,1.0
12,14,0.34
12,15,0.84
12,16,0.46
12,17,0.5
12,18,0.2
12,19,0.12
13,13,1.0
13,14,0.16
13,15,0.5
13,16,0.26
13,17,0.96
13,18,0.16
13,19,0.2
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.2
14,18,0.0
14,19,0.0
15,15,0.0
15,16,0.0
15,17,0.64
15,18,0.0
15,19,0.0
16,16,0.0
16,17,0.24
16,18,0.0
16,19,0.0
17,17,0.48
17,18,0.26
17,19,0.26
18,18,0.0
18,19,0.0
19,19,0.0
