i,j,freq
0,0,0.78
0,1,0.64
0,2,0.38
0,3,0.22
0,4,0.34
0,5,0.2
0,6,0.28
0,7,0.34
0,8,0.54
0,9,0.52
0,10,0.68
0,11,0.42
0,12,0.28
0,13,0.26
0,14,0.2
0,15,0.18
0,16,0.64
0,17,0.62
0,18,0.92
0,19,0.16
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.38
1,11,0.0
1,12,0.4
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.42
1,18,0.76
1,19,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.0
2,9,0.0
2,10,0.44
2,11,0.0
2,12,0.36
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.5
2,18,0.76
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.38
3,11,0.0
3,12,0.26
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.24
3,18,0.28
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.28
4,11,0.0
4,12,0.4
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.48
4,18,0.32
4,19,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.18
5,11,0.0
5,12,0.18
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.34
5,18,0.4
5,19,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.52
6,11,0.0
6,12,0.34
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.48
6,18,0.3
6,19,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.38
7,11,0.0
7,12,0.56
7,13,0.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.6
7,18,0.66
7,19,0.0
8,8,0.0
8,9,0.0
8,10,0.3
8,11,0.0
8,12,0.58
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.48
8,18,0.68
8,19,0.0
9,9,0.0
9,10,0.64
9,11,0.0
9,12,0.74
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.58
9,18,0.72
9,19,0.0
10,10,0.84
10,11,0.42
10,12,0.36
10,13,0.32
10,14,0.28
10,15,0.46
10,16,0.4
10,17,1.0
10,18,0.94
10,19,0.36
11,11,0.0
11,12,0.46
11,13,0.0
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.68
11,18,0.36
11,19,0.0
12,12,0.04
12,13,0.36
12,14,0.28
12,15,0.34
12,16,0.3
12,17,0.5
12,18,0.6
12,19,0.26
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.54
13,18,0.3
13,19,0.0
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.66
14,18,0.64
14,19,0.0
15,15,0.0
15,16,0.0
15,17,0.46
15,18,0.48
15,19,0.0
16,16,0.0
16,17,0.96
16,18,1.0
16,19,0.0
17,17,0.98
17,18,1.0
17,19,0.46
18,18,1.0
18,19,0.46
19,19,0.0
