i,j,freq
0,0,0.96
0,1,0.14
0,2,0.64
0,3,0.32
0,4,0.3
0,5,0.46
0,6,0.98
0,7,0.96
0,8,0.28
0,9,0.2
0,10,0.56
0,11,0.18
0,12,0.26
0,13,0.96
0,14,0.74
0,15,0.58
0,16,0.84
0,17,0.48
0,18,0.22
0,19,0.46
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.22
1,7,0.16
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.0
1,13,0.22
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.22
1,18,0.0
1,19,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.5
2,7,0.22
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.0
2,13,0.42
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.44
2,18,0.0
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.32
3,7,0.48
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.0
3,13,0.64
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.6
3,18,0.0
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.22
4,7,0.18
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.0
4,13,0.18
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.18
4,18,0.0
4,19,0.0
5,5,0.0
5,6,0.24
5,7,0.22
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.0
5,13,0.26
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.38
5,18,0.0
5,19,0.0
6,6,0.98
6,7,0.94
6,8,0.22
6,9,0.58
6,10,0.7
6,11,0.04
6,12,0.12
6,13,0.74
6,14,0.94
6,15,0.36
6,16,0.54
6,17,0.98
6,18,0.4
6,19,0.56
7,7,0.86
7,8,0.26
7,9,0.34
7,10,0.34
7,11,0.1
7,12,0.2
7,13,0.96
7,14,0.8
7,15,0.4
7,16,0.76
7,17,0.98
7,18,0.42
7,19,0.32
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.0
8,13,0.22
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.28
8,18,0.0
8,19,0.0
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.0
9,13,0.4
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.32
9,18,0.0
9,19,0.0
10,10,0.0
10,11,0.0
10,12,0.0
10,13,0.78
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.38
10,18,0.0
10,19,0.0
11,11,0.0
11,12,0.0
11,13,0.12
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.18
11,18,0.0
11,19,0.0
12,12,0.0
12,13,0.16
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.14
12,18,0.0
12,19,0.0
13,13,0.9
13,14,0.74
13,15,0.44
13,16,0.34
13,17,0.98
13,18,0.1
13,19,0.5
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.94
14,18,0.0
14,19,0.0
15,15,0.0
15,16,0.0
15,17,0.42
15,18,0.0
15,19,0.0
16,16,0.0
16,17,0.42
16,18,0.0
16,19,0.0
17,17,0.98
17,18,0.4
17,19,0.3
18,18,0.0
18,19,0.0
19,19,0.0
