i,j,freq
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.3
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.24
0,13,0.1
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.26
0,18,0.32
0,19,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.64
1,9,0.0
1,10,0.0
1,11,0.0
1,12,0.34
1,13,0.56
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.42
1,18,0.48
1,19,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.0
2,8,0.72
2,9,0.0
2,10,0.0
2,11,0.0
2,12,0.48
2,13,0.48
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.54
2,18,0.62
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.66
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.32
3,13,0.38
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.6
3,18,0.64
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.6
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.48
4,13,0.4
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.66
4,18,0.7
4,19,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.5
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.44
5,13,0.44
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.44
5,18,0.62
5,19,0.0
6,6,0.0
6,7,0.0
6,8,0.34
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.44
6,13,0.52
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.8
6,18,0.78
6,19,0.0
7,7,0.0
7,8,0.3
7,9,0.0
7,10,0.0
7,11,0.0
7,12,0.42
7,13,0.24
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.4
7,18,0.34
7,19,0.0
8,8,0.9
8,9,0.16
8,10,0.32
8,11,0.38
8,12,0.9
8,13,0.78
8,14,0.22
8,15,0.14
8,16,0.8
8,17,0.78
8,18,0.9
8,19,0.42
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.12
9,13,0.06
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.14
9,18,0.16
9,19,0.0
10,10,0.0
10,11,0.0
10,12,0.1
10,13,0.28
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.16
10,18,0.12
10,19,0.0
11,11,0.0
11,12,0.32
11,13,0.22
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.24
11,18,0.34
11,19,0.0
12,12,0.38
12,13,0.22
12,14,0.14
12,15,0.24
12,16,0.76
12,17,0.3
12,18,0.64
12,19,0.4
13,13,0.2
13,14,0.2
13,15,0.14
13,16,0.74
13,17,0.12
13,18,0.42
13,19,0.12
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.22
14,18,0.34
14,19,0.0
15,15,0.0
15,16,0.0
15,17,0.46
15,18,0.46
15,19,0.0
16,16,0.0
16,17,0.66
16,18,0.84
16,19,0.0
17,17,0.18
17,18,0.68
17,19,0.1
18,18,0.64
18,19,0.2
19,19,0.0
