i,j,freq
0,0,0.0
0,1,0.0
0,2,0.94
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,1.0
0,11,0.0
0,12,0.0
0,13,0.0
0,14,0.92
0,15,0.0
0,16,0.96
0,17,1.0
0,18,0.0
0,19,0.0
1,1,0.0
1,2,0.98
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.0
1,8,0.0
1,9,0.0
1,10,0.98
1,11,0.0
1,12,0.0
1,13,0.0
1,14,0.96
1,15,0.0
1,16,0.96
1,17,0.92
1,18,0.0
1,19,0.0
2,2,0.98
2,3,0.96
2,4,0.98
2,5,0.94
2,6,0.92
2,7,0.98
2,8,0.94
2,9,0.94
2,10,1.0
2,11,0.96
2,12,0.98
2,13,0.92
2,14,1.0
2,15,0.94
2,16,1.0
2,17,1.0
2,18,0.98
2,19,0.96
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,1.0
3,11,0.0
3,12,0.0
3,13,0.0
3,14,0.94
3,15,0.0
3,16,1.0
3,17,0.96
3,18,0.0
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,1.0
4,11,0.0
4,12,0.0
4,13,0.0
4,14,0.98
4,15,0.0
4,16,0.94
4,17,1.0
4,18,0.0
4,19,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.96
5,11,0.0
5,12,0.0
5,13,0.0
5,14,0.98
5,15,0.0
5,16,0.98
5,17,0.98
5,18,0.0
5,19,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,1.0
6,11,0.0
6,12,0.0
6,13,0.0
6,14,0.98
6,15,0.0
6,16,1.0
6,17,1.0
6,18,0.0
6,19,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.94
7,11,0.0
7,12,0.0
7,13,0.0
7,14,0.96
7,15,0.0
7,16,0.96
7,17,0.96
7,18,0.0
7,19,0.0
8,8,0.0
8,9,0.0
8,10,0.92
8,11,0.0
8,12,0.0
8,13,0.0
8,14,0.98
8,15,0.0
8,16,0.94
8,17,0.98
8,18,0.0
8,19,0.0
9,9,0.0
9,10,0.94
9,11,0.0
9,12,0.0
9,13,0.0
9,14,0.96
9,15,0.0
9,16,0.92
9,17,0.98
9,18,0.0
9,19,0.0
10,10,1.0
10,11,0.98
10,12,0.94
10,13,1.0
10,14,1.0
10,15,0.94
10,16,1.0
10,17,1.0
10,18,1.0
10,19,0.94
11,11,0.0
11,12,0.0
11,13,0.0
11,14,0.94
11,15,0.0
11,16,1.0
11,17,1.0
11,18,0.0
11,19,0.0
12,12,0.0
12,13,0.0
12,14,0.98
12,15,0.0
12,16,0.96
12,17,0.94
12,18,0.0
12,19,0.0
13,13,0.0
13,14,1.0
13,15,0.0
13,16,0.96
13,17,0.96
13,18,0.0
13,19,0.0
14,14,1.0
14,15,0.92
14,16,1.0
14,17,1.0
14,18,0.92
14,19,0.96
15,15,0.0
15,16,0.92
15,17,0.92
15,18,0.0
15,19,0.0
16,16,0.96
16,17,1.0
16,18,1.0
16,19,0.94
17,17,1.0
17,18,1.0
17,19,0.96
18,18,0.0
18,19,0.0
19,19,0.0
