i,j,freq
0,0,0.0
0,1,0.98
0,2,0.98
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.0
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.0
0,12,0.92
0,13,0.96
0,14,0.0
0,15,0.0
0,16,0.0
0,17,0.84
0,18,0.0
0,19,0.0
1,1,1.0
1,2,1.0
1,3,0.84
1,4,0.8
1,5,0.92
1,6,0.88
1,7,0.94
1,8,0.82
1,9,0.78
1,10,0.84
1,11,0.84
1,12,0.98
1,13,1.0
1,14,0.92
1,15,0.88
1,16,0.94
1,17,1.0
1,18,0.94
1,19,0.82
2,2,1.0
2,3,0.92
2,4,0.84
2,5,0.92
2,6,0.88
2,7,0.9
2,8,0.9
2,9,0.86
2,10,0.9
2,11,0.8
2,12,1.0
2,13,1.0
2,14,0.92
2,15,0.96
2,16,0.84
2,17,0.88
2,18,0.82
2,19,0.8
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.0
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.0
3,12,0.88
3,13,0.84
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.84
3,18,0.0
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.0
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.0
4,12,0.8
4,13,0.88
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.86
4,18,0.0
4,19,0.0
5,5,0.0
5,6,0.0
5,7,0.0
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.0
5,12,0.9
5,13,0.84
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.88
5,18,0.0
5,19,0.0
6,6,0.0
6,7,0.0
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.0
6,12,0.96
6,13,0.96
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.9
6,18,0.0
6,19,0.0
7,7,0.0
7,8,0.0
7,9,0.0
7,10,0.0
7,11,0.0
7,12,1.0
7,13,1.0
7,14,0.0
7,15,0.0
7,16,0.0
7,17,0.88
7,18,0.0
7,19,0.0
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.0
8,12,0.82
8,13,0.96
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.92
8,18,0.0
8,19,0.0
9,9,0.0
9,10,0.0
9,11,0.0
9,12,0.84
9,13,0.8
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.86
9,18,0.0
9,19,0.0
10,10,0.0
10,11,0.0
10,12,0.92
10,13,0.84
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.86
10,18,0.0
10,19,0.0
11,11,0.0
11,12,0.96
11,13,0.92
11,14,0.0
11,15,0.0
11,16,0.0
11,17,0.78
11,18,0.0
11,19,0.0
12,12,1.0
12,13,1.0
12,14,0.86
12,15,0.98
12,16,0.92
12,17,0.86
12,18,0.9
12,19,0.84
13,13,0.98
13,14,0.8
13,15,0.88
13,16,0.84
13,17,1.0
13,18,0.84
13,19,0.88
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.86
14,18,0.0
14,19,0.0
15,15,0.0
15,16,0.0
15,17,0.98
15,18,0.0
15,19,0.0
16,16,0.0
16,17,0.9
16,18,0.0
16,19,0.0
17,17,0.9
17,18,0.94
17,19,0.86
18,18,0.0
18,19,0.0
19,19,0.0
