alpha,cv_requested,cv_mean_used,max_interaction_terms,mean_average_precision,std_average_precision,fold_failures
0.1,0.4,0.4833336666666666,20,0.6496104853042237,0.0,2
0.1,0.4,0.4833336666666666,10,0.641468026870178,0.0,2
0.1,0.05,0.14423344013484865,50,0.6317616516957058,0.11339784384366869,0
0.1,0.3,0.46666733333333327,10,0.6312111649938321,0.036075768650457696,1
0.3,0.3,0.30000099999999996,20,0.6282278797868364,0.02644552902766027,0
0.5,0.05,0.14423344013484865,5,0.6268491827277836,0.04164223927051424,0
0.1,0.1,0.3109001068015153,5,0.6255688756352487,0.015394931812714896,1
0.5,0.05,0.14423344013484865,10,0.6188338845959532,0.07627757058246662,0
0.3,0.3,0.30000099999999996,100,0.6179476681710772,0.015514089679377037,0
0.3,0.2,0.200001,10,0.6129647493359882,0.04845992570614154,0
0.3,0.4,0.41666766666666666,5,0.6124415636402901,0.008984892291603855,0
0.3,0.1,0.14423344013484865,50,0.6099936915528378,0.06347226548468718,0
0.7,0.1,0.14423344013484865,5,0.6089893799769389,0.08395927362434631,0
0.5,0.4,0.400001,10,0.607043128775345,0.0650776061335163,0
0.3,0.3,0.33333433333333334,10,0.6068404604961364,0.038820257305897624,0
0.5,0.4,0.400001,20,0.6067192105570286,0.050827346773808006,0
0.5,0.1,0.14423344013484865,10,0.6058217015030668,0.08679421717120413,0
0.1,0.3,0.30000099999999996,100,0.6054719226383871,0.008697137236987902,0
0.5,0.2,0.200001,5,0.6053119772673051,0.04922345032158881,0
0.3,0.4,0.400001,50,0.6038439275999928,0.031940259270389855,0
0.3,0.2,0.23333433333333334,5,0.6035620446487237,0.03322374697919946,0
0.3,0.05,0.1609001068015153,10,0.6026430286895312,0.062096947752234566,0
0.5,0.4,0.400001,50,0.6019168200963503,0.11013832393280992,0
0.1,0.05,0.277566773468182,5,0.6009855341536517,0.010905916476247834,1
0.5,0.3,0.30000099999999996,50,0.6005044417085168,0.02003759470444677,0
0.7,0.3,0.30000099999999996,10,0.6004061512149472,0.05581529141284831,0
0.7,0.1,0.14423344013484865,50,0.6001801984887369,0.08491931562562562,0
0.7,0.3,0.30000099999999996,5,0.5993090852857915,0.03281605231541324,0
0.7,0.3,0.30000099999999996,20,0.5989939486047033,0.034650274765235294,0
0.5,0.2,0.200001,20,0.5985491411774226,0.04835078081787079,0
0.5,0.3,0.30000099999999996,5,0.5977887732211765,0.02562119557903123,0
0.1,0.1,0.14423344013484865,100,0.596098972912079,0.05483149958192685,0
0.7,0.3,0.30000099999999996,50,0.5933307244519255,0.03958360146358529,0
0.3,0.1,0.14423344013484865,20,0.5914362490613913,0.01757547288733577,0
0.1,0.2,0.25000100000000003,20,0.5914170371314672,0.10372246438129747,0
0.7,0.4,0.400001,100,0.5910292118961101,0.04725833532179749,0
0.3,0.4,0.400001,100,0.5909257555589079,0.03151655321328102,0
0.5,0.05,0.14423344013484865,50,0.5909104034663436,0.04257860404132633,0
0.3,0.1,0.14423344013484865,100,0.5898452887749926,0.03308391080176002,0
0.5,0.05,0.14423344013484865,20,0.5889768739821856,0.06794440719126489,0
0.7,0.05,0.14423344013484865,10,0.5887120829638998,0.028596116809171106,0
0.1,0.1,0.1609001068015153,20,0.5878306967639967,0.08286214679608742,0
0.3,0.4,0.400001,20,0.58743326005153,0.05637726955777962,0
0.5,0.2,0.200001,100,0.5871204795055821,0.05678987941837422,0
0.5,0.4,0.400001,5,0.5866574536030467,0.016080646462855577,0
0.7,0.2,0.200001,5,0.5866133817819671,0.05939206821098707,0
0.1,0.2,0.45000033333333334,5,0.5861152650054541,0.0,2
0.1,0.2,0.200001,50,0.585411614311342,0.053413535117700445,0
0.7,0.1,0.14423344013484865,20,0.5846354549644014,0.05560494372004685,0
0.7,0.1,0.14423344013484865,10,0.5827138694928974,0.03349556045552534,0
0.3,0.1,0.14423344013484865,5,0.5824861107644147,0.05145423550610635,0
