oof_score,y
0.15508890130865013,0
0.23798164727704124,0
0.2070594240415864,0
-0.12430755119419307,0
0.08130319655301499,0
0.14967643315192963,1
0.47614911678904387,0
,0
0.3625783523184187,1
0.19694990571533932,1
,0
,0
0.23709818214787873,0
0.09082990336042551,0
0.20532331993276345,0
0.4163088773681443,0
0.09005168111587564,0
0.1899614112387532,0
0.220984971344466,0
0.19454102711554427,0
,1
0.2103651597977051,1
,0
,0
,0
,0
0.19129344271514875,0
0.1316387615847249,0
0.29105644475271814,0
0.04299182647085036,0
,0
,1
,0
0.12530205086619345,0
0.15388469865737694,0
0.3692852389008093,1
0.09672991162762255,0
0.209109343843391,0
-0.052729888488415776,0
0.27061990844779793,0
,1
0.1208826821222868,0
-0.023130631842182513,1
0.04199747982460213,1
,0
-0.022803149036622665,0
0.2266404104747181,0
,0
0.10267569868200499,0
0.23914643772860203,0
,0
0.26115352944937825,0
,0
0.11880926120554533,1
0.07707036685200574,1
0.043523781088520744,0
,0
-0.016191220356641885,0
,0
0.25991360986287204,0
0.2975832690903625,0
,1
,0
,0
0.4336285572065889,0
0.14381640026329576,0
0.25739366222581656,0
,0
,0
0.0928072309644241,0
0.25825933084654673,0
,0
,0
0.28477613553429615,1
,0
,0
0.16398046799809732,0
0.10153258659397396,0
,0
0.19044318000471758,1
0.17300525302209044,0
0.1936773517862088,0
0.14160118745725234,0
,0
,0
0.1927557645837499,0
0.456859430213859,1
,0
,0
0.06903088502784144,1
0.08096642568053171,0
0.14766141731243315,1
0.3133209744158149,0
,1
0.21153722175448053,0
0.06530970698538209,0
0.2516666181359606,0
0.08935836580837972,0
0.4743713239872189,0
0.11487637067321112,0
,0
,0
0.21854233449095595,0
,1
0.14761867264186324,0
,0
,0
,0
,0
0.1861707613116046,0
,0
,0
0.13929308617323038,0
0.13491629804461794,0
0.08495070716852263,0
0.27854531806632554,0
0.16317484449157987,0
,0
0.1409685159422979,0
,0
,0
0.2827042712607836,0
0.21551045342568279,1
,0
,1
,0
0.4488128549498243,0
,1
0.3047648819110083,0
0.5662249314493353,0
0.168677635362554,0
0.20192331754717793,0
0.24534958683339644,0
0.14168178775704388,0
,0
0.15082316787218153,0
,0
,0
,0
0.06639254267923779,0
0.01940979192241112,0
,0
0.05647740816511849,0
,0
0.20925298391741318,0
,0
,0
,0
,0
0.054660085518279514,0
0.3425468428713848,0
,0
,0
0.11889120673819124,0
,0
,1
0.1170121550999496,0
,0
0.2768056978075439,0
0.23836756554530122,0
0.11856771008380024,1
0.3341956562495149,0
,0
0.21504510631788165,0
0.21768788912974524,0
,1
0.022123098228952854,0
,0
0.06368913485766743,0
,0
,0
,1
,0
0.16551098942459583,0
0.17927711095060603,0
,0
0.15418153394005663,1
0.15915191420604524,0
0.11606816305481381,1
0.22671922904653338,0
0.20820881065959085,0
0.16595390746929506,0
,0
,0
0.1552110011348998,1
0.14259770508794609,0
0.047046468207906623,0
,0
0.35083277647904926,0
0.14658180495359097,0
,0
0.2636327207992031,0
0.16259001061613018,0
0.21833250747074764,0
0.2066471383435009,0
0.23308622970241533,1
0.15399484747528147,1
,0
,0
,1
,0
0.057748697290068825,0
0.16372594252790476,0
0.15010179452670547,0
0.16984324052323901,0
0.13204079016562917,0
0.09552470924558994,0
0.14376356169428017,0
0.04446605148665872,0
,0
0.23126792030549234,0
0.12250926644517642,0
,0
0.2866198525105498,0
0.28923493852581716,0
0.2398640712909132,0
,0
0.22018758269262476,0
0.3139799166833147,0
0.33753383429021394,1
0.36486251277356446,0
,0
0.08448976940327678,0
0.37447247851944765,0
0.3381521570568593,0
0.05243427975657848,0
,0
,0
0.03893450485441428,0
0.4110976583457262,1
0.2560455753068084,1
,0
,0
0.3762900803516506,0
0.3991658772618734,0
0.2433649594586887,0
,1
,0
0.3596111849971409,0
0.3452246536140836,0
0.39558904938630063,0
0.28749588783529345,0
0.44805755132348063,0
0.27981468165050566,0
0.143473358611927,1
,1
,0
,0
0.12291764378260842,0
,0
0.27129318197278623,0
,0
,0
,0
0.12780000499994632,1
0.10131558480661843,0
,0
,0
,0
0.2188429195199027,0
,0
,0
0.20993253470587617,1
0.1153337607402301,0
0.09125120891754088,0
,0
0.23843816669880533,0
,0
,1
,0
0.1865172909906712,0
,1
0.092601171679981,1
,0
,0
0.026341020609125708,0
0.050218952790770405,1
0.26145778562330735,0
0.23291125872113413,0
,0
,1
,0
0.3828320050816988,1
0.17979246724592035,0
0.3223605085835496,0
,0
0.26113748777934276,0
0.20402069942000475,0
0.21428524637799462,1
,0
0.19361838986184696,0
0.20054067476189671,0
,0
0.32333455192198246,1
0.13987501719090265,0
,0
0.16153819415213386,0
,1
0.2033079703126454,0
0.19170295105658158,0
,0
0.1847870643555361,0
-0.0267912845670757,0
0.1031040141045224,0
0.12491615915263246,0
,0
,0
0.07393773077856752,0
,1
0.09428090918197457,0
0.11327866575759186,0
0.09578615465507442,0
0.0335121189364099,1
0.20102357482080155,0
,0
0.10757873926737911,0
,0
-3.058819838972567e-05,0
0.07382467660819993,1
,0
0.13209071434302008,0
,0
0.1469412273791277,0
,0
,0
,0
0.01805501882424089,0
,0
,0
0.2120802510892237,0
,0
,0
,0
0.23859365735098262,1
0.2807727757331212,0
0.3530809985754208,0
0.16047061021261982,0
0.2903828851569914,0
,0
0.41936576045672064,0
0.23995323562880147,0
0.2885016687430464,0
,0
0.15153477154387326,0
,0
0.049883209028020244,0
,1
0.12065868714365419,0
0.0891258280305907,0
,0
0.20667680014509138,0
0.2905028912391617,1
0.13079336012378368,0
0.2008139848312523,0
0.15675346411658195,0
,1
,0
,1
0.1848012445097562,1
0.14950123957331238,0
0.11754318956653606,0
0.10111539735358151,0
0.03737224911259935,0
0.1472631253404321,1
0.05550981736805536,1
,0
0.1360960497660623,0
,1
,0
0.19879854780505463,0
,1
0.09253431723228704,0
,0
0.05943173909335113,0
0.1915500461147161,0
0.2597412641069818,0
0.16481351527386456,0
0.14236612559093828,0
0.11766414532363975,0
0.27439057551470775,0
,0
,0
0.2082458306156601,0
0.20666855082768257,0
0.009571576434269194,1
,1
,0
,0
,1
0.32638314051673917,0
,0
0.17419980457487425,0
,0
0.09310584946993267,0
,0
,1
,0
,0
0.283807607343903,0
