oof_score,y
0.312181261311247,0
,1
0.5129189858875864,1
0.1697129571667551,1
,0
0.2893567688227291,1
,1
0.3830576315352663,0
0.4020239911350375,1
,0
,0
0.523907523367134,1
,0
0.3764645317878773,0
0.6067926975335061,0
0.5668577196234713,0
0.49431141149676683,0
,0
,1
0.45243686462375055,1
0.5781605398310707,0
,0
,0
0.2343842063035967,1
0.33805351176582493,1
,1
0.6703389161572,1
0.4882294980263857,1
0.42502213136083966,0
,0
0.38017330307693403,0
,1
,1
,0
0.5849785861387444,0
,1
,0
,0
0.4998634933921229,1
0.4924186184299457,0
0.47318633643646196,1
,0
0.5165983358738507,1
0.3307632665328233,0
0.3256798774697296,1
,1
0.484034572678792,0
0.501310323041583,0
,1
0.4481498229344085,1
0.45130589300811313,1
,0
0.5533162531313006,1
0.5385179555579108,1
0.7237342982963871,1
0.6128994100149805,1
,0
0.31069081813501237,0
,1
0.4608509083095921,0
0.4273140917183362,1
0.6553061655813206,0
,0
,0
0.39623835594816825,0
,0
,1
,1
,1
0.5323109871208915,1
,1
,1
0.22006479217045966,1
0.4168976991915878,0
,1
0.5149249762325587,0
0.22411081552547324,0
0.7329660951375743,1
0.875149639851413,1
,0
0.5984840379191019,1
,0
,1
0.4649120637169819,0
0.5206557497031625,0
0.3620407505787624,0
,1
0.6080456090673131,1
0.4709482274961413,1
,0
,0
0.8643368325028178,1
0.5514254801915864,1
,0
0.8332384253146311,1
0.7405548850937663,0
,1
0.5375271045117316,1
-0.13791972495654614,0
0.5455901167011915,0
,1
0.5511992840950184,1
0.6371849511779257,0
0.3458873341537155,0
0.6597170965510311,1
0.6204999799801809,1
0.3967564111971274,0
0.1527683618058199,0
,0
0.41215946557843924,1
,1
0.5362584339890801,0
0.5500735166883889,0
0.5796189173309122,0
0.4598653373888812,0
,0
0.4466718592588207,1
,1
0.4142896810188139,0
0.24506456109741637,0
0.4133357126180534,0
0.6332051516748294,1
0.4737849487007378,0
,0
,1
0.7451225684658801,0
0.4928005703924333,1
,1
,0
0.4878726425515906,1
0.911594822599386,0
0.7281992415365034,1
0.49944787014203285,0
,0
0.5057027714365012,1
0.6031977862824951,1
0.3989128990750041,0
,1
,1
0.5006820025219183,0
,1
0.5313409905254215,0
,1
,0
,1
,0
,0
0.49140665747224627,0
0.3991615137882947,0
,1
0.4594786069157326,1
,1
,1
0.4715339837536321,0
0.49466310629875565,1
0.45198942460525315,1
0.4809282690128785,0
,0
0.5709644886098323,1
0.2453116604094217,1
,1
,1
,0
,0
,1
0.5397187714350717,1
0.7081171364057018,0
0.5440682617282444,0
0.4440547108592862,0
0.48279692520296785,0
,1
0.38518356097109235,1
0.5662036031546155,0
0.5071147496096173,1
-0.04789269628867043,0
,0
0.6396071272992188,0
,1
0.7273853709587219,1
0.47001300910193117,1
0.4470072142515719,1
0.36614839737848626,1
,0
,0
0.6091777108510759,0
0.5301548352095855,1
,0
0.43736943722215493,0
0.5028444126121385,1
,1
0.4233010068265346,0
,0
,0
0.41518600882949536,1
,1
0.4883136074594783,0
0.5339888407972069,1
,1
0.4919866902779555,0
0.36158234806664746,0
0.6309208940941792,1
,0
,1
,0
,1
0.5331089825493018,1
0.4494952888512391,0
0.575945322316005,1
