i,i_name,j,j_name,coef
8,hsa_miR_X9i_5p,1,hsa_miR_X2b_5p,3.919253986497916e-05
8,hsa_miR_X9i_5p,8,hsa_miR_X9i_5p,-0.00016000011996484802
