oof_score,y
0.12419133082626119,0
0.15492193653898303,0
0.25734242230386306,0
-0.16721336228068218,0
-0.012185458960786402,0
0.09069528772078372,1
0.41796435537752546,0
,0
0.17551558680808818,1
0.20717960243200462,1
,0
,0
0.2754798924819851,0
0.061116508887984186,0
0.24616738165606245,0
0.33155268391295833,0
0.032775457067790205,0
0.19602991804586148,0
0.310924474953273,0
0.14371834584086998,0
,1
0.20004183513333768,1
,0
,0
,0
,0
0.0740851563134259,0
0.06534178504270693,0
0.19551784119340798,0
-0.0322291502561215,0
,0
,1
,0
0.020090314573619587,0
0.01480267929368256,0
0.27088652034944927,1
0.3685866393086814,0
0.1749360021294037,0
-0.009509199610041406,0
0.29288335620957806,0
,1
0.1594223623024894,0
-0.08283265180191123,1
0.18098215780521826,1
,0
0.08446638471688192,0
0.15223509456830187,0
,0
0.06263585798481458,0
0.2408092056716652,0
,0
0.2635040375830247,0
,0
0.08179344256963929,1
0.17300043284858238,1
0.2481141692248046,0
,0
0.08086230676083986,0
,0
0.2611019428175469,0
0.19158638524268976,0
,1
,0
,0
0.3908012159454338,0
0.23557323493551768,0
0.2737303930367115,0
,0
,0
0.0997364566727152,0
0.2577655959125067,0
,0
,0
0.22028043747311407,1
,0
,0
0.1795787749544892,0
0.19793352200635433,0
,0
0.19080752930480044,1
0.13113196271748725,0
0.24423119702263282,0
0.11288013575950077,0
,0
,0
0.13486820823052292,0
0.3009722232002826,1
,0
,0
0.13244540332977384,1
0.16652521017233407,0
0.1834194112233399,1
0.1657356616974937,0
,1
0.13368998946208438,0
0.1492251381337761,0
0.23484843894890348,0
0.1092070161995983,0
0.344176546154539,0
0.11992969901380356,0
,0
,0
0.2570304116952,0
,1
0.08329941768002608,0
,0
,0
,0
,0
0.16358946790324688,0
,0
,0
0.15779453429421603,0
0.1812656007817336,0
0.15300191211439826,0
0.2993756816042161,0
0.2462815555158003,0
,0
0.2185688546566597,0
,0
,0
0.3422795342376458,0
0.09639006040688997,1
,0
,1
,0
0.21612233183323618,0
,1
0.2699601360302749,0
0.285488371596215,0
0.2135763620604232,0
0.2635345396531953,0
0.16701206264632815,0
0.22086606061467318,0
,0
0.1799677190851704,0
,0
,0
,0
0.23110476984979755,0
0.11563094053525437,0
,0
0.1233467688471092,0
,0
0.29579007187365736,0
,0
,0
,0
,0
-0.09014017499092121,0
0.27379202838308836,0
,0
,0
0.15671148043710972,0
,0
,1
0.10636072590474213,0
,0
0.15099897403281462,0
0.22933408961776142,0
0.07389450100795637,1
0.2400362930988389,0
,0
0.3101842712598636,0
0.2073668392189725,0
,1
0.08019640701546774,0
,0
0.17048682483074032,0
,0
,0
,1
,0
0.16997805572470667,0
0.2119545694055511,0
,0
0.21191490118275047,1
0.18802208830235262,0
