fold,roc_auc,average_precision,accuracy_t,f1_t,threshold_used,best_alpha,best_cv,best_mit,z_candidate_id,z_category,z_inner_best_score,z_names,n_z,cv_used_effective,nnz_theta,cap_hit_likely,error
1,0.464021164021164,0.1824138593027851,0.26126126126126126,0.31666666666666665,0.11190593610676207,0.1,0.3,100,7,random,0.41039172744644614,hsa_miR_X8h_5p;hsa_miR_X16p_5p;hsa_miR_X12l_5p;hsa_miR_X19s_5p;hsa_miR_X14n_5p;hsa_miR_X21t_5p;hsa_miR_X6f_3p;hsa_miR_X11k_3p;hsa_miR_X4d_3p;hsa_miR_X2b_5p,10,0.30000099999999996,80.0,0.0,
2,,,,,,0.1,0.2,10,6,random,,hsa_miR_X10j_3p;hsa_miR_X14n_5p;hsa_miR_X3c_3p;hsa_miR_X1a_3p;hsa_miR_X21t_5p;hsa_miR_X19s_5p;hsa_miR_X9i_5p;hsa_miR_X12l_5p;hsa_miR_X7g_3p;hsa_miR_X5e_5p,10,,,,attempt to get argmin of an empty sequence
3,0.4523809523809524,0.24020852915183954,0.5405405405405406,0.23880597014925373,0.20107751147617023,0.3,0.4,20,2,random,0.46529209733676175,hsa_miR_X13m_3p;hsa_miR_X17q_5p;hsa_miR_X1a_3p;hsa_miR_X7g_3p;hsa_miR_X4d_3p;hsa_miR_X10j_3p;hsa_miR_X19s_5p;hsa_miR_X5e_5p;hsa_miR_X11k_3p;hsa_miR_X20t_5p,10,0.400001,12.0,0.0,
4,,,,,,0.1,0.05,20,2,random,,hsa_miR_X21t_5p;hsa_miR_X12l_5p;hsa_miR_X3c_3p;hsa_miR_X8h_5p;hsa_miR_X9i_5p;hsa_miR_X1a_3p;hsa_miR_X17q_5p;hsa_miR_X18r_3p;hsa_miR_X14n_5p;hsa_miR_X11k_3p,10,,,,attempt to get argmin of an empty sequence
5,0.5022222222222222,0.1954882295644449,0.5545454545454546,0.2222222222222222,0.20304865588696772,0.1,0.3,50,9,high_variance,0.40294902760453,hsa_miR_X20t_5p;hsa_miR_X21t_5p;hsa_miR_X9i_5p;hsa_miR_X12l_5p;hsa_miR_X7g_3p;hsa_miR_X16p_5p;hsa_miR_X10j_3p;hsa_miR_X17q_5p;hsa_miR_X4d_3p;hsa_miR_X19s_5p,10,0.40000099999999994,26.0,0.0,
