i,j,freq
0,0,0.42
0,1,0.7
0,2,0.78
0,3,0.18
0,4,0.24
0,5,0.44
0,6,0.36
0,7,0.32
0,8,0.16
0,9,0.64
0,10,0.98
0,11,1.0
0,12,0.08
0,13,0.2
0,14,0.54
0,15,0.62
0,16,0.64
0,17,0.2
0,18,0.16
0,19,0.1
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.38
1,6,0.0
1,7,0.36
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.94
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.26
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.36
2,6,0.0
2,7,0.22
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.96
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.26
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.48
3,6,0.0
3,7,0.2
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.8
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.52
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
4,4,0.0
4,5,0.54
4,6,0.0
4,7,0.34
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.68
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.56
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
5,5,0.64
5,6,0.54
5,7,0.44
5,8,0.46
5,9,0.78
5,10,0.98
5,11,1.0
5,12,0.22
5,13,0.12
5,14,0.86
5,15,0.9
5,16,0.74
5,17,0.5
5,18,0.22
5,19,0.18
6,6,0.0
6,7,0.66
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.96
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.94
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
7,7,0.6
7,8,0.78
7,9,0.88
7,10,0.98
7,11,1.0
7,12,0.2
7,13,0.38
7,14,0.9
7,15,1.0
7,16,0.8
7,17,0.54
7,18,0.18
7,19,0.16
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.96
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.86
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
9,9,0.0
9,10,0.0
9,11,0.96
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.7
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
10,10,0.0
10,11,0.96
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.36
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
11,11,0.88
11,12,0.02
11,13,0.16
11,14,0.54
11,15,0.74
11,16,0.34
11,17,0.2
11,18,0.04
11,19,0.08
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.04
12,16,0.0
12,17,0.0
12,18,0.0
12,19,0.0
13,13,0.0
13,14,0.0
13,15,0.3
13,16,0.0
13,17,0.0
13,18,0.0
13,19,0.0
14,14,0.0
14,15,0.66
14,16,0.0
14,17,0.0
14,18,0.0
14,19,0.0
15,15,0.48
15,16,0.32
15,17,0.2
15,18,0.16
15,19,0.1
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
17,17,0.0
17,18,0.0
17,19,0.0
18,18,0.0
18,19,0.0
19,19,0.0
