i,j,freq
0,0,0.0
0,1,0.0
0,2,0.0
0,3,0.0
0,4,0.0
0,5,0.0
0,6,0.0
0,7,0.38
0,8,0.0
0,9,0.0
0,10,0.0
0,11,0.34
0,12,0.52
0,13,0.52
0,14,0.62
0,15,0.0
0,16,0.0
0,17,0.0
0,18,0.0
0,19,0.0
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.6
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.56
1,12,0.28
1,13,0.6
1,14,0.32
1,15,0.0
1,16,0.0
1,17,0.0
1,18,0.0
1,19,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.3
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.2
2,12,0.22
2,13,0.62
2,14,0.18
2,15,0.0
2,16,0.0
2,17,0.0
2,18,0.0
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.38
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.52
3,12,0.48
3,13,0.3
3,14,0.52
3,15,0.0
3,16,0.0
3,17,0.0
3,18,0.0
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.46
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.88
4,12,0.86
4,13,0.36
4,14,0.58
4,15,0.0
4,16,0.0
4,17,0.0
4,18,0.0
4,19,0.0
5,5,0.0
5,6,0.0
5,7,0.18
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.12
5,12,0.28
5,13,0.12
5,14,0.18
5,15,0.0
5,16,0.0
5,17,0.0
5,18,0.0
5,19,0.0
6,6,0.0
6,7,0.6
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.34
6,12,0.54
6,13,0.48
6,14,0.46
6,15,0.0
6,16,0.0
6,17,0.0
6,18,0.0
6,19,0.0
7,7,0.9
7,8,0.22
7,9,0.48
7,10,0.88
7,11,0.5
7,12,0.98
7,13,0.4
7,14,0.44
7,15,0.3
7,16,0.44
7,17,0.66
7,18,0.26
7,19,0.26
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.36
8,12,0.38
8,13,0.24
8,14,0.2
8,15,0.0
8,16,0.0
8,17,0.0
8,18,0.0
8,19,0.0
9,9,0.0
9,10,0.0
9,11,0.54
9,12,0.78
9,13,0.72
9,14,0.68
9,15,0.0
9,16,0.0
9,17,0.0
9,18,0.0
9,19,0.0
10,10,0.0
10,11,0.4
10,12,0.5
10,13,0.72
10,14,0.5
10,15,0.0
10,16,0.0
10,17,0.0
10,18,0.0
10,19,0.0
11,11,0.56
11,12,0.98
11,13,0.42
11,14,0.98
11,15,0.3
11,16,0.82
11,17,0.38
11,18,0.22
11,19,0.22
12,12,0.82
12,13,0.54
12,14,0.98
12,15,0.32
12,16,0.7
12,17,0.48
12,18,0.42
12,19,0.22
13,13,0.36
13,14,0.86
13,15,0.36
13,16,0.58
13,17,0.4
13,18,0.32
13,19,0.32
14,14,0.94
14,15,0.3
14,16,0.28
14,17,0.3
14,18,0.24
14,19,0.18
15,15,0.0
15,16,0.0
15,17,0.0
15,18,0.0
15,19,0.0
16,16,0.0
16,17,0.0
16,18,0.0
16,19,0.0
17,17,0.0
17,18,0.0
17,19,0.0
18,18,0.0
18,19,0.0
19,19,0.0
