i,j,freq
0,0,1.0
0,1,0.16
0,2,0.06
0,3,0.04
0,4,0.3
0,5,0.26
0,6,0.98
0,7,1.0
0,8,0.84
0,9,0.72
0,10,0.12
0,11,1.0
0,12,0.22
0,13,0.34
0,14,0.76
0,15,0.06
0,16,0.86
0,17,1.0
0,18,1.0
0,19,0.9
1,1,0.0
1,2,0.0
1,3,0.0
1,4,0.0
1,5,0.0
1,6,0.0
1,7,0.62
1,8,0.0
1,9,0.0
1,10,0.0
1,11,0.96
1,12,0.0
1,13,0.0
1,14,0.0
1,15,0.0
1,16,0.0
1,17,0.96
1,18,0.96
1,19,0.0
2,2,0.0
2,3,0.0
2,4,0.0
2,5,0.0
2,6,0.0
2,7,0.1
2,8,0.0
2,9,0.0
2,10,0.0
2,11,0.08
2,12,0.0
2,13,0.0
2,14,0.0
2,15,0.0
2,16,0.0
2,17,0.08
2,18,0.14
2,19,0.0
3,3,0.0
3,4,0.0
3,5,0.0
3,6,0.0
3,7,0.02
3,8,0.0
3,9,0.0
3,10,0.0
3,11,0.02
3,12,0.0
3,13,0.0
3,14,0.0
3,15,0.0
3,16,0.0
3,17,0.02
3,18,0.02
3,19,0.0
4,4,0.0
4,5,0.0
4,6,0.0
4,7,0.16
4,8,0.0
4,9,0.0
4,10,0.0
4,11,0.1
4,12,0.0
4,13,0.0
4,14,0.0
4,15,0.0
4,16,0.0
4,17,0.2
4,18,0.16
4,19,0.0
5,5,0.0
5,6,0.0
5,7,0.22
5,8,0.0
5,9,0.0
5,10,0.0
5,11,0.22
5,12,0.0
5,13,0.0
5,14,0.0
5,15,0.0
5,16,0.0
5,17,0.16
5,18,0.46
5,19,0.0
6,6,0.0
6,7,0.42
6,8,0.0
6,9,0.0
6,10,0.0
6,11,0.62
6,12,0.0
6,13,0.0
6,14,0.0
6,15,0.0
6,16,0.0
6,17,0.88
6,18,1.0
6,19,0.0
7,7,0.3
7,8,0.24
7,9,0.6
7,10,0.36
7,11,1.0
7,12,0.42
7,13,0.98
7,14,0.72
7,15,0.08
7,16,0.94
7,17,1.0
7,18,1.0
7,19,0.88
8,8,0.0
8,9,0.0
8,10,0.0
8,11,0.54
8,12,0.0
8,13,0.0
8,14,0.0
8,15,0.0
8,16,0.0
8,17,0.94
8,18,0.94
8,19,0.0
9,9,0.0
9,10,0.0
9,11,0.52
9,12,0.0
9,13,0.0
9,14,0.0
9,15,0.0
9,16,0.0
9,17,0.7
9,18,0.26
9,19,0.0
10,10,0.0
10,11,0.34
10,12,0.0
10,13,0.0
10,14,0.0
10,15,0.0
10,16,0.0
10,17,0.22
10,18,0.36
10,19,0.0
11,11,0.9
11,12,0.3
11,13,0.64
11,14,0.84
11,15,0.02
11,16,0.34
11,17,0.32
11,18,1.0
11,19,0.9
12,12,0.0
12,13,0.0
12,14,0.0
12,15,0.0
12,16,0.0
12,17,0.14
12,18,0.32
12,19,0.0
13,13,0.0
13,14,0.0
13,15,0.0
13,16,0.0
13,17,0.42
13,18,0.62
13,19,0.0
14,14,0.0
14,15,0.0
14,16,0.0
14,17,0.4
14,18,0.82
14,19,0.0
15,15,0.0
15,16,0.0
15,17,0.08
15,18,0.16
15,19,0.0
16,16,0.0
16,17,0.56
16,18,0.26
16,19,0.0
17,17,1.0
17,18,0.48
17,19,0.28
18,18,0.62
18,19,0.66
19,19,0.0
